brightness,contrast,sharpness,label
35.108418367346935,79.64882892760731,8517.528148708043,5
39.661989795918366,83.88715868331147,9385.688138629937,0
24.799744897959183,65.57974931595184,6266.805478570028,4
21.855867346938776,66.0788867702743,5603.059110887152,1
29.60969387755102,74.37131543202635,8139.315080764816,9
37.75637755102041,81.10468534454127,8971.394879762604,2
22.507653061224488,67.8416331342975,5161.8257467596095,1
45.74872448979592,90.0166048934103,8616.282116962011,3
13.869897959183673,52.61518861943741,3801.210058509001,1
27.93877551020408,71.55821325476839,7440.390708546793,4
36.41326530612245,82.6293983827359,6284.018154586937,3
18.176020408163264,58.771627686304065,6030.09262058733,5
45.61352040816327,89.19174981782737,8606.021108031691,3
36.27933673469388,79.88780258337873,8546.707007082668,6
14.823979591836734,54.58177852936045,3552.9839870104415,1
32.265306122448976,77.41747429971547,7346.205117437921,7
31.42219387755102,75.22272417243073,8362.559096889785,2
34.57397959183673,78.44543233070108,7971.539570560733,8
17.332908163265305,55.211630306796984,6953.994862965761,6
22.625,65.08230415232323,6578.492007502589,9
43.57270408163265,88.76884577047646,7817.5906469583715,4
45.19515306122449,89.02971257622448,9355.795008538396,0
19.963010204081634,60.21629728143047,7126.12376473223,9
21.144132653061224,64.75673388089596,5404.704613532655,1
28.020408163265305,71.64242694527394,6744.092228661011,1
52.016581632653065,94.4893686955206,8958.898897007362,2
17.320153061224488,56.15183772209428,6104.492595392066,4
58.816326530612244,100.35463615972368,8475.740208840738,3
53.14795918367347,96.4690843251295,8164.150569692898,2
20.082908163265305,62.063697642115834,6499.4778001735685,7
32.5280612244898,76.02333643004255,6707.308278043727,3
41.536989795918366,87.07279771055224,7857.672531564067,8
22.424744897959183,63.00687887563713,7229.778029730411,6
27.007653061224488,70.88341925375865,7181.083802245179,9
46.56505102040816,91.74096103502542,8407.40637160214,0
20.823979591836736,61.84033206473858,5721.085845860978,5
40.64668367346939,87.33996393533987,6399.916729654825,6
47.53316326530612,91.69121829511664,9043.139357800734,0
27.9859693877551,71.78915099860914,7223.884073794127,7
34.285714285714285,79.27728397909479,7854.202793874751,6
17.46811224489796,59.102591568473976,3701.3749335125,1
36.10331632653061,80.48913470356423,8494.126760169089,8
16.116071428571427,54.698272991382424,5132.697964782621,7
22.964285714285715,65.47215680215926,6729.81123148848,9
21.931122448979593,62.8698879186481,6719.459575599789,3
30.81377551020408,75.26332015833293,7703.983189160438,9
29.568877551020407,71.2175658419634,7933.70150611685,8
28.636479591836736,75.17903288527931,4579.050082584474,5
21.92091836734694,62.54611662828517,5782.995016936815,9
42.04336734693877,86.67057710434233,9848.397637244198,3
23.917091836734695,65.54247348336875,7637.617059992721,3
58.0905612244898,99.20922394107893,8950.667996416672,0
35.64540816326531,80.8089790887375,7542.391002491532,7
21.433673469387756,61.45514947268214,6765.227247277509,4
30.089285714285715,73.93710915158826,8308.945634220767,9
41.2844387755102,85.53421240966779,9040.84229164917,8
53.433673469387756,96.53740254734043,8826.431860810168,0
25.590561224489797,68.71392903598642,7617.38358388623,9
43.307397959183675,90.24414813050656,5597.317992217463,4
21.477040816326532,65.52736991189073,5422.085985834662,1
37.57142857142857,82.84361034811438,7952.943044707596,4
23.135204081632654,64.78139917476301,6452.02091206853,4
38.66326530612245,84.32271510818023,7576.086643710983,6
58.985969387755105,99.65489459844727,10755.634850648079,0
33.50765306122449,77.80855261343704,8384.618151787465,4
21.161989795918366,63.48421412429619,6451.170557935109,5
34.411989795918366,81.42966734300056,4495.866493099296,6
19.40561224489796,59.69350945072273,5634.3409479017955,1
31.520408163265305,75.8199033682593,7477.100641079478,0
53.919642857142854,97.3488227336497,10594.912726407434,0
28.1734693877551,74.0322462160921,5858.011967750064,1
26.028061224489797,69.38195987016238,7176.958153117213,7
13.716836734693878,51.71681546884582,3595.4438705523357,1
33.30484693877551,76.622901655705,8169.538786708099,6
33.35076530612245,78.7661753677768,7115.23144648806,3
43.411989795918366,88.47116969074658,8139.978192099885,0
33.52423469387755,76.79252079085767,7614.623134850648,2
21.636479591836736,66.0561507112729,4873.230634640689,1
25.167091836734695,71.00820151474697,7073.412642423225,1
29.755102040816325,75.09364034928629,7472.75069286974,7
33.390306122448976,76.35941936943274,9392.521527952744,9
47.13265306122449,91.44478235247693,8472.342683575489,0
51.253826530612244,95.12152866175724,8756.490817726266,2
34.173469387755105,79.57309891940125,5621.068209176675,6
23.729591836734695,66.889726811332,7018.7227401248565,7
33.232142857142854,76.89017603646363,9254.449763444474,8
27.846938775510203,71.52675067453768,8018.386425352033,3
35.61734693877551,80.26983514233473,8727.647616248145,9
43.20663265306123,87.04784432084388,8728.890036673105,0
32.11224489795919,75.50506911663197,8332.746479661822,4
37.97704081632653,82.41945346585707,8565.101340947902,6
33.08163265306123,78.11813051847689,7223.868725679572,7
19.612244897959183,59.25808437967083,5702.034125584389,4
37.4030612244898,82.13477159470658,8617.40108059685,6
34.786989795918366,79.28041670924625,7891.948251728674,8
48.11607142857143,93.32724708160866,7551.671691721956,0
23.154336734693878,66.85540982620229,6137.026720976457,7
37.339285714285715,81.32682984446781,8646.056199434508,8
27.4375,71.44079303924705,7031.879552644103,3
16.381377551020407,55.91350563493642,5055.157526385039,1
23.011479591836736,66.90532544051037,6361.217197166934,5
29.903061224489797,73.60769418810868,7691.002365555277,7
14.442602040816327,54.992316451842505,3881.517902634304,1
24.489795918367346,67.6078873097582,6768.057949105568,7
14.82780612244898,54.29661255532263,3790.6058760952947,1
24.616071428571427,70.22775845800373,4952.809887741105,1
34.03188775510204,79.02289292110265,7914.945088323395,6
39.869897959183675,84.41614249819345,8200.325074885923,3
36.859693877551024,79.61672029747707,9847.675079085133,0
26.926020408163264,70.880555870347,6735.65845021136,2
31.661989795918366,76.90156897181245,7913.425450015398,9
58.473214285714285,99.03763609940498,10017.357800733462,3
14.89923469387755,54.372663444294794,3359.434492315444,1
26.292091836734695,72.31380128183208,4796.971333389322,1
51.66709183673469,94.4167927531299,9676.409912936368,0
26.955357142857142,69.79983624385066,7451.595895971557,4
32.640306122448976,77.42597325575034,7454.715517482713,9
51.13137755102041,94.10053153865526,9249.557039276615,2
31.980867346938776,74.19428364623735,8943.4808515999,0
54.89923469387755,96.59882483031551,8384.60135494527,0
50.77168367346939,95.36340356238328,8252.855911088716,2
58.67857142857143,99.77929087618884,9795.598415497887,0
30.76658163265306,76.23395017131755,6704.50324738949,2
31.121173469387756,76.22104241471796,7440.235734931833,7
11.92984693877551,47.898691207217,3670.2232860222284,1
33.84566326530612,78.54121436317185,8593.815584670083,8
35.474489795918366,80.85418887994344,8306.882450099381,6
29.720663265306122,73.39920745254761,8356.759525209261,4
25.457908163265305,71.95455101625434,4538.158128271885,1
40.07142857142857,85.23603183190183,7959.966056381401,6
28.84438775510204,73.20075672306426,7412.051034405533,3
